Domain	Filename	Entity	Linkable	Split	Split Terms	Wiki IDs
Agriculture	S037842901300244X.ann	continued selection gain		No	selection gain	https://en.wikipedia.org/wiki/Quantitative_genetics#Selection,
Agriculture	S0038071713001971.ann	community	No			
Agriculture	S037842901300244X.ann	all target traits		No	traits	https://en.wikipedia.org/wiki/Phenotypic_trait,NOUN_56035_0_1,NOUN_38913_0_1
Agriculture	S0038071713001971.ann	synthesized	No			
Agriculture	S0038071713001971.ann	The key topological properties		No	topological properties	https://en.wikipedia.org/wiki/Topological_property,NOUN_6386673_0_1
Agriculture	S0167880913001229.ann	SOC stock changes		No	SOC	https://en.wikipedia.org/wiki/Soil_carbon,
Agriculture	S037842901300244X.ann	selection		No	selection	https://en.wikipedia.org/wiki/Natural_selection,NOUN_54009_0_1
Agriculture	S0038071713001971.ann	The constructed healthy and diseased networks	No			
Agriculture	S0038071713001971.ann	diseased community	No			
Agriculture	S0378112713005288.ann	adjacent areas	No			
Agriculture	S0038071712001010.ann	Soil aggregate stability		No		https://en.wikipedia.org/wiki/Soil_aggregate_stability,
Agriculture	S037842901300244X.ann	evaluating	No			
Agriculture	S037842901300244X.ann	Two-hundred full-sib families (FS)		Yes	full-sib, families	,NOUN_4565435_0_1;https://en.wikipedia.org/wiki/Gene_family,NOUN_6722_0_5
Agriculture	S0038071711004354.ann	forest		No		https://en.wikipedia.org/wiki/Forest,NOUN_34005_0_1
Agriculture	S037842901300244X.ann	area under Striga number progress curve, ASNPC		Yes	area,Striga,progress curve	https://en.wikipedia.org/wiki/Area,NOUN_29610_0_1;https://en.wikipedia.org/wiki/Striga,PROPER_NOUN_4200002_0_1;https://en.wikipedia.org/wiki/Learning_curve,
Agriculture	S0167880913001229.ann	soil layers		No		
Agriculture	S0254629913003086.ann	acid/alkaline phosphatase activity		Yes	acid,alkaline phosphatase	https://en.wikipedia.org/wiki/Acid_phosphatase,;https://en.wikipedia.org/wiki/Alkaline_phosphatase,
Agriculture	S0261219413001944.ann	charcoal rot in a no-till field		Yes	charcoal rot, no-till field	
Agriculture	S0031405612000728.ann	soil		Yes	soil	https://en.wikipedia.org/wiki/Soil,NOUN_5217_0_1
Agriculture	S037842901300244X.ann	Striga resistance		Yes	Striga,resistance	https://en.wikipedia.org/wiki/Striga,PROPER_NOUN_4200002_0_1;,NOUN_75740_0_1
Agriculture	S1161030113001950.ann	future changes	No			
Agriculture	S0038071711004354.ann	measurement		No		https://en.wikipedia.org/wiki/Measurement,NOUN_35688_0_1
Agriculture	S037842901300244X.ann	a diversified pearl millet genepool		Yes	pearl millet, genepool	https://en.wikipedia.org/wiki/Pearl_millet,NOUN_1820164_0_1;https://en.wikipedia.org/wiki/Gene_pool,NOUN_514850_0_1
Agriculture	S0254629913003086.ann	Acid and alkaline activity		Yes	acid,alkaline	https://en.wikipedia.org/wiki/Acid,ADJECTIVE_1625_0_3;https://en.wikipedia.org/wiki/Alkali,ADJECTIVE_202709_1_1
Agriculture	S1161030113001950.ann	P				NOUN_30004_0_1
Agriculture	S037842901300244X.ann	their selection sites		Yes	selection,sites	https://en.wikipedia.org/wiki/Natural_selection,;,NOUN_62598_1_1
Agriculture	S1161030113001950.ann	the two systems	No			
Agriculture	S0031405612000728.ann	contrasting levels of species (TRF) richness		Yes	contrasting,levels, species, TRF	,ADJECTIVE_210761_0_1;,NOUN_56157_1_3;https://en.wikipedia.org/wiki/Species_richness,;https://en.wikipedia.org/wiki/Tropical_rainforest,NOUN_1822043_0_1
Agriculture	S0038071713001971.ann,S0261219413001944.ann	inhibited	No			
Agriculture	S037842901300244X.ann	panicle yield		Yes	panicle,yield	https://en.wikipedia.org/wiki/Panicle,NOUN_846241_0_1;https://en.wikipedia.org/wiki/Crop_yield,NOUN_72653_1_2
Agriculture	S1161030113001950.ann	soil P management		Yes	soil,P	https://en.wikipedia.org/wiki/Soil,NOUN_5217_0_1;https://en.wikipedia.org/wiki/Phosphorus,SYMBOL_145394_1_1
Agriculture	S0031405612000728.ann	The dilution method		No	dilution	,NOUN_272745_0_1
Agriculture	S0254629913003086.ann	much higher	No			
Agriculture	S0168945213001805.ann	timber, fiber, pulp, paper, and bioenergy		Yes	timber, fiber, pulp, paper, bioenergy	https://en.wikipedia.org/wiki/Lumber,NOUN_38305_0_1;https://en.wikipedia.org/wiki/Fiber,NOUN_56997_0_1;https://en.wikipedia.org/wiki/Pulp_(paper),NOUN_182139_0_1;https://en.wikipedia.org/wiki/Paper,NOUN_19939_0_1;https://en.wikipedia.org/wiki/Bioenergy,NOUN_922120_0_1
Agriculture	S0261219413001944.ann	a tilled environment		No	tilled	https://en.wikipedia.org/wiki/Till,ADJECTIVE_407524_1_1
Agriculture	S037842901300244X.ann	the genepool parents		Yes	genepool,parents	https://en.wikipedia.org/wiki/Gene_pool,NOUN_514850_0_1;https://en.wikipedia.org/wiki/Ancestor,NOUN_4481_0_6
Agriculture	S0168945213001805.ann	the physiological processes		No	physiological	https://en.wikipedia.org/wiki/Physiology,ADJECTIVE_78316_0_1
Agriculture	S1161030113001950.ann	P doses		Yes	P,doses	https://en.wikipedia.org/wiki/Phosphorus,SYMBOL_145394_1_1;https://en.wikipedia.org/wiki/Dose_(biochemistry),NOUN_54170_0_1
Agriculture	S0031405612000728.ann,S0167880913001229.ann	decreased	No			
Agriculture	S0038071712001010.ann	soil fungi and roots		Yes	soil,fungi,roots	https://en.wikipedia.org/wiki/Soil,NOUN_5217_0_1;https://en.wikipedia.org/wiki/Fungus,NOUN_38448_0_1;https://en.wikipedia.org/wiki/Root,NOUN_39505_0_1
Agriculture	S0038071713001971.ann	irresponsive	No			
Agriculture	S0378112713005288.ann	local native seed sources		Yes	local,native,seed	,ADJECTIVE_38364_0_1;,ADJECTIVE_49762_0_5;https://en.wikipedia.org/wiki/Seed,NOUN_39502_0_1
Agriculture	S0038071711004354.ann	the fractional contribution	No			
Agriculture	S0038071713001971.ann	role-shifts	No			
Agriculture	S037842901300244X.ann	previous cycles	No			
Agriculture	S1161030113001950.ann	an assessment	No			
Agriculture	S0167880913001229.ann	unpruned timber trees		Yes	unpruned,timber trees	,ADJECTIVE_1364314_0_1;https://en.wikipedia.org/wiki/Lumber,
Agriculture	S0038071713001971.ann	generalist OTUs		Yes	generalist,OTUs	https://en.wikipedia.org/wiki/Generalist_and_specialist_species,NOUN_219612_0_3;https://en.wikipedia.org/wiki/Operational_taxonomic_unit,
Agriculture	S0031405612000728.ann	mineralisation		No		https://en.wikipedia.org/wiki/Mineralization_(soil_science),NOUN_745805_0_2
Agriculture	S0038071713001971.ann	diseased one	No			
Agriculture	S0168945213001805.ann	deploying	No			
Agriculture	S0038071713001971.ann	the interactions	No			
Agriculture	S0168945213001805.ann	multiple independent genes		No	genes	https://en.wikipedia.org/wiki/Gene,NOUN_41461_0_1
Agriculture	S0254629913003086.ann	the rhizosphere of Cyclopia genistoides, Cyclopia subternata, Aspalathus caledonensis and Aspalathus aspalathoides		Yes	rhizosphere,Cyclopia genistoides,Cyclopia subternata,Aspalathus caledonensis,Aspalathus aspalathoides	https://en.wikipedia.org/wiki/Rhizosphere,NOUN_323146_0_1;,;,;,;,
Agriculture	S0038071713001971.ann	the relative abundances	No			
Agriculture	S0038071713001971.ann	the healthy and diseased networks	No			
Agriculture	S037842901300244X.ann	downy mildew incidence		No	downy mildew	https://en.wikipedia.org/wiki/Downy_mildew,NOUN_492286_0_2
Agriculture	S0031405612000728.ann,S0038071712001010.ann	soil structure		No		https://en.wikipedia.org/wiki/Soil_structure,
Agriculture	S0167880913001229.ann	higher versus moderate agronomic inputs		Yes	agronomic,inputs	https://en.wikipedia.org/wiki/Agricultural_economics,ADJECTIVE_310148_0_1;,NOUN_6965_0_2
Agriculture	S0254629913003086.ann	bulk soils		No		https://en.wikipedia.org/wiki/Bulk_soil,
Agriculture	S0031405612000728.ann	The less species rich bare soil		Yes	species rich,soil	https://en.wikipedia.org/wiki/Species_richness,;https://en.wikipedia.org/wiki/Soil,NOUN_5217_0_1
Agriculture	S0254629913003086.ann	developed	No			
Agriculture	S0167880913001229.ann	SOC stocks		Yes	SOC	https://en.wikipedia.org/wiki/Soil_carbon,
Agriculture	S0378112713005288.ann	altitudes ranging from 120m to 380m		Yes	altitudes,m,m	https://en.wikipedia.org/wiki/Altitude,NOUN_7950_0_1;https://en.wikipedia.org/wiki/Metre,SYMBOL_8697_1_1;https://en.wikipedia.org/wiki/Metre,SYMBOL_8697_1_1
Agriculture	S1161030113001950.ann	data from 2009 and 2012	No			
Agriculture	S0031405612000728.ann	soil aggregate stability		No		https://en.wikipedia.org/wiki/Soil_aggregate_stability,
Agriculture	S1161030113001950.ann	crop yields		No		https://en.wikipedia.org/wiki/Crop_yield,
Agriculture	S0038071711004354.ann	natural and artificial modification	No			
Agriculture	S0038071712001010.ann	All AMF inocula		Yes	AMF, inocula	https://en.wikipedia.org/wiki/Arbuscular_mycorrhiza,;https://en.wikipedia.org/wiki/Inoculation,NOUN_1270288_0_1
Agriculture	S1161030113001950.ann	the samples		No	samples	https://en.wikipedia.org/wiki/Sample_(material),NOUN_95644_0_1
Agriculture	S0038071711004354.ann	The contribution	No			
Agriculture	S0168945213001805.ann	Transgenesis		No		https://en.wikipedia.org/wiki/Gene_delivery,NOUN_1367796_0_1
Agriculture	S0038071713001971.ann	EC		No	EC	https://en.wikipedia.org/wiki/Electrical_resistivity_and_conductivity,
Agriculture	S0038071712001010.ann	the lowest per cent root length		Yes	root,length	https://en.wikipedia.org/wiki/Root,NOUN_39505_0_1;https://en.wikipedia.org/wiki/Length,NOUN_36171_0_1
Agriculture	S0167880913001229.ann	heavily pruned legume shade trees		Yes	pruned,legume,shade trees	https://en.wikipedia.org/wiki/Pruning,VERB_716097_0_1;https://en.wikipedia.org/wiki/Legume,NOUN_60536_0_2;https://en.wikipedia.org/wiki/Shade_tree,
Agriculture	S0031405612000728.ann	smaller pore sizes		Yes	pore,sizes	https://en.wikipedia.org/wiki/Pore_space_in_soil,NOUN_175492_0_2;https://en.wikipedia.org/wiki/Size,NOUN_18697_0_4
Agriculture	S0254629913003086.ann	making	No			
Agriculture	S1161030113001950.ann	calculated input need	No			
Agriculture	S0261219413001944.ann	the disease severity		Yes	disease,severity	https://en.wikipedia.org/wiki/Disease,NOUN_2343_0_1;,NOUN_103666_0_2
Agriculture	S0168945213001805.ann	multiple or changing environments	No			
Agriculture	S0168945213001805.ann	the environment	No			
Agriculture	S0167880913001229.ann	much greater reduction	No			
Agriculture	S0038071711004354.ann	the three components	No			
Agriculture	S0378112713005288.ann	a seed source		No	seed	https://en.wikipedia.org/wiki/Seed,NOUN_39502_0_1
Agriculture	S0254629913003086.ann,S1161030113001950.ann	P supply		No	P	https://en.wikipedia.org/wiki/Phosphorus,SYMBOL_145394_1_1
Agriculture	S0038071712001010.ann	Aggregate stability	No			
Agriculture	S0167880913001229.ann	total 0-40cm depth		Yes	cm,depth	https://en.wikipedia.org/wiki/Centimetre,SYMBOL_28854_0_1;https://en.wikipedia.org/wiki/Vertical_position,NOUN_8121_0_1
Agriculture	S0378112713005288.ann	the clearfelling operations		No	clearfelling operations	https://en.wikipedia.org/wiki/Clearcutting,
Agriculture	S0261219413001944.ann	the M. Phaseolina isolates, temperatures, and formulations		Yes	M. Phaseolina, isolates, temperatures, formulations	https://en.wikipedia.org/wiki/Macrophomina_phaseolina,;https://en.wikipedia.org/wiki/Strain_(biology),NOUN_69601_1_1;https://en.wikipedia.org/wiki/Temperature,NOUN_4531_0_3;https://en.wikipedia.org/wiki/Formulation,NOUN_61848_0_2
Agriculture	S0168945213001805.ann,S037842901300244X.ann	production	No			
Agriculture	S0254629913003086.ann	the rhizosphere of each plant species		Yes	rhizosphere,plant species	https://en.wikipedia.org/wiki/Rhizosphere,NOUN_323146_0_1;https://en.wikipedia.org/wiki/Flora,
Agriculture	S0031405612000728.ann	planted (with or without mycorrhizal fungi) and in unplanted macrocosms		Yes	planted, mycorrhizal fungi, unplanted, macrocosms	https://en.wikipedia.org/wiki/Sowing,VERB_191403_0_1;https://en.wikipedia.org/wiki/Mycorrhiza,NOUN_489043_0_1;,ADJECTIVE_1464790_0_1;,NOUN_33598_0_1
Agriculture	S0031405612000728.ann	a degree of redundancy		Yes	degree,redundancy	,NOUN_33931_0_6;,NOUN_94129_0_2
Agriculture	S0031405612000728.ann	planted mycorrhizal		Yes	planted, mycorrhizal	https://en.wikipedia.org/wiki/Sowing,VERB_191403_0_1;https://en.wikipedia.org/wiki/Mycorrhiza,NOUN_489043_0_1
Agriculture	S0038071713001971.ann	the majorities (63%)	No			
Agriculture	S037842901300244X.ann	46%/62% lower	No			
Agriculture	S0254629913003086.ann	younger plants		No	plants	https://en.wikipedia.org/wiki/Plant,NOUN_3463_0_1
Agriculture	S0254629913003086.ann	a good indicator	No			
Agriculture	S0261219413001944.ann	30 °C		Yes	°C	https://en.wikipedia.org/wiki/Celsius,SYMBOL_53573_0_1
Agriculture	S0167880913001229.ann	poorly correlated		Yes	poorly,correlated	,ADVERB_78732_0_2;https://en.wikipedia.org/wiki/Correlation_and_dependence,ADJECTIVE_67229_1_1
Agriculture	S0254629913003086.ann	non-rhizosphere bulk soils		Yes	rhizosphere,bulk soils	https://en.wikipedia.org/wiki/Rhizosphere,NOUN_323146_0_1;https://en.wikipedia.org/wiki/Bulk_soil,
Agriculture	S1161030113001950.ann	other basic soil properties		No	soil	https://en.wikipedia.org/wiki/Soil,NOUN_5217_0_1
Agriculture	S0038071713001971.ann	the key responsible variables		No	variables	NOUN_41481_1_2
Agriculture	S0168945213001805.ann	winter dormancy		No	winter dormancy	https://en.wikipedia.org/wiki/Dormancy,
Agriculture	S0261219413001944.ann	glyphosate		No		https://en.wikipedia.org/wiki/Glyphosate,NOUN_849302_0_1
Agriculture	S0254629913003086.ann	the rhizosphere		No	rhizosphere	https://en.wikipedia.org/wiki/Rhizosphere,NOUN_323146_0_1
Agriculture	S0038071712001010.ann	arbuscular mycorrhizal fungi		No		https://en.wikipedia.org/wiki/Arbuscular_mycorrhiza,
Agriculture	S037842901300244X.ann	pearl millet		No		https://en.wikipedia.org/wiki/Pearl_millet,NOUN_1820164_0_1
Agriculture	S0038071712001010.ann	G. mosseae		No	G. mosseae	
Agriculture	S0254629913003086.ann	The enhanced	No			
Agriculture	S037842901300244X.ann	operative heritabilities		Yes	operative,heritabilities	,ADJECTIVE_226656_0_1;https://en.wikipedia.org/wiki/Heritability,NOUN_748362_0_2
Agriculture	S0167880913001229.ann	surface soil		No		https://en.wikipedia.org/wiki/Topsoil,
Agriculture	S0168945213001805.ann	various stress factors		No	stress factors	https://en.wikipedia.org/wiki/Abiotic_stress,
Agriculture	S0261219413001944.ann	50%	No			
Agriculture	S1161030113001950.ann	monitor	No			
Agriculture	S0261219413001944.ann	growth stage V3 and V6		Yes	growth stage,V3,V6	https://en.wikipedia.org/wiki/Ontogeny,;,;,
Agriculture	S0378112713005288.ann	recorded	No			
Agriculture	S0261219413001944.ann	M. phaseolina in culture		Yes	M. phaseolina,in culture	https://en.wikipedia.org/wiki/Macrophomina_phaseolina,;https://en.wikipedia.org/wiki/Cell_culture,
Agriculture	S0378112713005288.ann	Regeneration	No			
Agriculture	S1161030113001950.ann	The first ever uniform topsoil P survey		Yes	topsoil,P,survey	https://en.wikipedia.org/wiki/Topsoil,NOUN_465872_0_1;https://en.wikipedia.org/wiki/Phosphorus,SYMBOL_145394_1_1;https://en.wikipedia.org/wiki/Soil_survey,NOUN_94590_0_2
Agriculture	S0254629913003086.ann	Cyclopia and Aspalathus species		Yes	Cyclopia,Aspalathus species	https://en.wikipedia.org/wiki/Cyclopia_(plant),;https://en.wikipedia.org/wiki/Aspalathus,
Agriculture	S0378112713005288.ann	upland conifer plantation sites		Yes	upland,conifer,plantation sites	https://en.wikipedia.org/wiki/Upland_and_lowland,ADJECTIVE_184784_1_1;https://en.wikipedia.org/wiki/Pinophyta,NOUN_191538_0_1;https://en.wikipedia.org/wiki/Plantation,
Agriculture	S0038071711004354.ann	Dual-chamber technique	No			
Agriculture	S0254629913003086.ann	their plantations		No	plantations	https://en.wikipedia.org/wiki/Plantation,NOUN_53564_0_1
Agriculture	S0031405612000728.ann	bacterial community composition		Yes	bacterial community	https://en.wikipedia.org/wiki/Consorms,
Agriculture	S0038071713001971.ann	only 1 (0.6%)	No			
Agriculture	S0038071713001971.ann	the counterpart network	No			
Agriculture	S0261219413001944.ann	in vitro		No		https://en.wikipedia.org/wiki/In_vitro,ADJECTIVE_66823_0_1
Agriculture	S0254629913003086.ann	acid and alkaline phosphatase activity		Yes	acid,alkaline phosphatase	https://en.wikipedia.org/wiki/Acid_phosphatase,;https://en.wikipedia.org/wiki/Alkaline_phosphatase,
Agriculture	S0031405612000728.ann	microbial diversity		No		,
Agriculture	S0254629913003086.ann	the rhizospheres of the legumes C. genistoides, C. subternata, A. caledonensis, and A. aspalathoides		Yes	rhizospheres,legumes,C. genistoides,C. subternata,A. caledonensis,A. aspalathoides	https://en.wikipedia.org/wiki/Rhizosphere,NOUN_323146_0_1;https://en.wikipedia.org/wiki/Legume,NOUN_60536_0_2;https://en.wikipedia.org/wiki/Cyclolepis,;,;,;,
Agriculture	S0038071712001010.ann	plant roots		No	plant roots	https://en.wikipedia.org/wiki/Root,
Agriculture	S0038071713001971.ann	healthy community	No			
Agriculture	S0254629913003086.ann	age		No	age	,NOUN_3769_0_2
Agriculture	S0254629913003086.ann	plant available-P		No	plant available-P	
Agriculture	S0038071711004354.ann	process-based models	No			
Agriculture	S0038071711004354.ann	permanent collars		No	collars	,NOUN_7929_0_3
Agriculture	S0167880913001229.ann	land management		No		https://en.wikipedia.org/wiki/Land_management,
Agriculture	S0167880913001229.ann	smaller	No			
Agriculture	S0038071711004354.ann	the measurements		No	measurements	https://en.wikipedia.org/wiki/Measurement,NOUN_35688_0_1
Agriculture	S0378112713005288.ann	greater than 1000stems/ha		No	stems/ha	
Agriculture	S0167880913001229.ann	9.65 and 2.85MgCha-1		No	MgCha-1	
Agriculture	S0038071712001010.ann	the relationship	No			
Agriculture	S0261219413001944.ann	the three isolates		No	isolates	https://en.wikipedia.org/wiki/Strain_(biology),NOUN_69601_1_1
Agriculture	S0167880913001229.ann	expansion factors	No			
Agriculture	S0378112713005288.ann	the conversion	No			
Agriculture	S0167880913001229.ann	Effects	No			
Agriculture	S0031405612000728.ann	field soil		Yes	field,soil	https://en.wikipedia.org/wiki/Field_(agriculture),NOUN_8536_0_1;https://en.wikipedia.org/wiki/Soil,NOUN_5217_0_1
Agriculture	S037842901300244X.ann	integrated Striga control		Yes	Striga,control	https://en.wikipedia.org/wiki/Striga,PROPER_NOUN_4200002_0_1;,VERB_7930_0_1
Agriculture	S0254629913003086.ann	Aspalathus species		No	Aspalathus species	https://en.wikipedia.org/wiki/Aspalathus
Agriculture	S037842901300244X.ann	the C5 selection cycle		Yes	selection,cycle	https://en.wikipedia.org/wiki/Natural_selection,NOUN_54009_0_1;,NOUN_12150_0_1
Agriculture	S0038071713001971.ann	soil variables		Yes	soil,variables	https://en.wikipedia.org/wiki/Soil,NOUN_5217_0_1;,NOUN_41481_1_1
Agriculture	S0261219413001944.ann	TN 410		No	TN 410	
Agriculture	S0167880913001229.ann	two long-term coffee agroforestry experiments		Yes	coffee,agroforestry,experiments	https://en.wikipedia.org/wiki/Coffea,NOUN_9925_0_5;https://en.wikipedia.org/wiki/Agroforestry,NOUN_1143727_0_1;https://en.wikipedia.org/wiki/Experiment,NOUN_4657_0_1
Agriculture	S0378112713005288.ann	poor quality	No			
Agriculture	S0254629913003086.ann	Plants		No	Plants	https://en.wikipedia.org/wiki/Plant,NOUN_3463_0_1
Agriculture	S0038071711004354.ann	a baseline level		No	baseline level	https://en.wikipedia.org/wiki/Baseline,
Agriculture	S0038071712001010.ann	the lower percentage colonisation		Yes	percentage,colonisation	https://en.wikipedia.org/wiki/Percentage,NOUN_106293_0_1;https://en.wikipedia.org/wiki/Colonisation_(biology),NOUN_226303_0_1
Agriculture	S0038071711004354.ann	δ13CRs		No		https://en.wikipedia.org/wiki/%CE%9413C
Agriculture	S0038071711004354.ann	conservation	No			
Agriculture	S0038071713001971.ann	the healthy network	No			
Agriculture	S0031405612000728.ann	organic matter		No		https://en.wikipedia.org/wiki/Organic_matter,NOUN_325766_0_1
Agriculture	S0167880913001229.ann	a new equilibrium		No	equilibrium	https://en.wikipedia.org/wiki/Equilibrium,NOUN_75648_0_1
Agriculture	S0167880913001229.ann	carbon accounting methodologies		No		https://en.wikipedia.org/wiki/Carbon_accounting
Agriculture	S0167880913001229.ann	0.13%	No			
Agriculture	S1161030113001950.ann	the results	No			
Agriculture	S1161030113001950.ann	integrating	No			
Agriculture	S0254629913003086.ann	tea yields		Yes	tea,yields	https://en.wikipedia.org/wiki/Camellia_sinensis,NOUN_37365_0_1;,NOUN_72653_1_2
Agriculture	S037842901300244X.ann	downy mildew [Sclerospora graminicola (Sacc.) J. Schroet.]		Yes	downy mildew,Sclerospora graminicola (Sacc.) J. Schroet.	https://en.wikipedia.org/wiki/Downy_mildew,;https://en.wikipedia.org/wiki/Sclerospora_graminicola,
Agriculture	S0168945213001805.ann	juvenility		No		https://en.wikipedia.org/wiki/Juvenile_(organism),
Agriculture	S0038071711004354.ann	a warm Mediterranean forest		No	Mediterranean forest	https://en.wikipedia.org/wiki/Mediterranean_forests_woodlands_and_scrub,
Agriculture	S0168945213001805.ann	flowering		No		https://en.wikipedia.org/wiki/Flower#Flowering_transition,NOUN_195625_1_1
Agriculture	S0168945213001805.ann	crop improvement		No		https://en.wikipedia.org/wiki/Plant_breeding,
Agriculture	S0378112713005288.ann	natural regeneration		No		https://en.wikipedia.org/wiki/Regeneration_(ecology),
Agriculture	S0167880913001229.ann	its reduction	No			
Agriculture	S0167880913001229.ann	organic versus conventional management	No			
Agriculture	S0254629913003086.ann	rhizosphere P enzyme activity		Yes	rhizosphere,P,enzyme activity	https://en.wikipedia.org/wiki/Rhizosphere,NOUN_323146_0_1;https://en.wikipedia.org/wiki/Phosphorus,SYMBOL_145394_1_1;https://en.wikipedia.org/wiki/Enzyme_assay#Enzyme_activity,
Agriculture	S0038071711004354.ann	30, 33, and 37%	No			
Agriculture	S0378112713005288.ann	clearcut sites		Yes	clearcut,sites	https://en.wikipedia.org/wiki/Clearcutting,ADJECTIVE_105372_0_2;https://en.wikipedia.org/wiki/Location,NOUN_62598_1_1
Agriculture	S037842901300244X.ann	The genepool-derived varieties		No	genepool	https://en.wikipedia.org/wiki/Gene_pool,NOUN_514850_0_1
Agriculture	S037842901300244X.ann	the genepool		No	genepool	https://en.wikipedia.org/wiki/Gene_pool,NOUN_514850_0_1
Agriculture	S037842901300244X.ann	on-farm		No	farm	https://en.wikipedia.org/wiki/Farm,NOUN_37472_0_1
Agriculture	S1161030113001950.ann	all regions of the EU		Yes	regions,EU	https://en.wikipedia.org/wiki/Region,NOUN_57902_0_2;https://en.wikipedia.org/wiki/European_Union,PROPER_NOUN_8504_0_1
Agriculture	S0038071711004354.ann	the partitioning	No			
Agriculture	S0254629913003086.ann	fynbos legumes		Yes	fynbos,legumes	https://en.wikipedia.org/wiki/Fynbos,NOUN_245178_0_1;https://en.wikipedia.org/wiki/Legume,NOUN_60536_0_2
Agriculture	S0038071713001971.ann	different sets of shared OTUs	No		OTUs	https://en.wikipedia.org/wiki/Operational_taxonomic_unit,NOUN_1074052_0_1
Agriculture	S0254629913003086.ann	seedlings		No		https://en.wikipedia.org/wiki/Seedling,NOUN_199353_0_1
Agriculture	S0038071713001971.ann	yield-invigorating (healthy) and -debilitating (diseased) soils				
Agriculture	S0261219413001944.ann	from 0.25 to 9.94 mM		No	mM	https://en.wikipedia.org/wiki/Molar_concentration#Units,NOUN_3714712_0_1
Agriculture	S0168945213001805.ann	the overall phenotype		No	phenotype	https://en.wikipedia.org/wiki/Phenotype,NOUN_41696_0_2
Agriculture	S0167880913001229.ann	SOC		No		https://en.wikipedia.org/wiki/Soil_carbon,
Agriculture	S0254629913003086.ann	Honeybush and Rooibos tea		Yes	Honeybush,Rooibos tea	https://en.wikipedia.org/wiki/Cyclopia_(plant),;https://en.wikipedia.org/wiki/Rooibos,
Agriculture	S0261219413001944.ann	hot and dry conditions	No			
Agriculture	S0038071713001971.ann	discouraged	No			
Agriculture	S037842901300244X.ann	the genepool parental landraces		Yes	genepool,parental,landraces	https://en.wikipedia.org/wiki/Gene_pool,NOUN_5010551_0_1;,ADJECTIVE_92409_0_3;https://en.wikipedia.org/wiki/Landrace,NOUN_1781905_0_1
Agriculture	S0031405612000728.ann	functional parameters	No			
Agriculture	S0038071712001010.ann	G. intraradices		No	G. intraradices	https://en.wikipedia.org/wiki/Rhizophagus_irregularis,
Agriculture	S0038071713001971.ann	species				
Agriculture	S0168945213001805.ann	Transgenic approaches		No	Transgenic approaches	https://en.wikipedia.org/wiki/Gene_delivery,
Agriculture	S037842901300244X.ann	pearl millet [Cenchrus americanus (L.) Morrone, comb. nov.]		Yes	pearl millet,Cenchrus americanus (L.) Morrone	https://en.wikipedia.org/wiki/Pearl_millet,NOUN_1820164_0_1;,
Agriculture	S0031405612000728.ann	directly related	No			
Agriculture	S0254629913003086.ann	the higher	No			
